@target G0.S0
-1.4 -521.42767
-1.3 -537.78340
-1.2 -535.67465
-1.1 -533.84020
-1.0 -520.13709
-0.9 -543.98711
-0.8 -556.37017
-0.7 -541.20457
-0.6 -540.52055
-0.5 -550.94031
-0.4 -556.65044
-0.3 -549.49784
-0.2 -544.58801
-0.1 -549.93477
0.0 -550.43252
0.1 -541.60369
0.2 -534.31338
0.3 -530.07006
0.4 -528.20474
0.5 -529.16351
0.6 -528.18909
0.7 -507.47095
0.8 -512.78531
0.9 -515.51753
1.0 -508.89602
1.1 -497.54040
1.2 -487.44077
1.3 -506.00586
1.4 -515.82790
1.5 -535.38378
1.6 -514.58517
1.7 -507.36317
1.8 -494.03265
1.9 -502.38150
2.0 -493.36094
&
@target G2.S1
@type xy
-2.0 -506.25725
-1.9 -504.29223
-1.8 -507.49495
-1.7 -505.38342
-1.6 -513.92045
-1.5 -518.73204
-1.4 -510.42073
-1.3 -517.95058
-1.2 -513.05798
-1.1 -521.98345
-1.0 -524.20091
-0.9 -525.43676
-0.8 -502.55108
-0.7 -506.22301
-0.6 -516.58544
-0.5 -530.04964
-0.4 -529.08535
-0.3 -533.22927
-0.2 -548.80410
-0.1 -541.69244
0.0 -552.27270
0.1 -551.60323
0.2 -559.64376
0.3 -557.68537
0.4 -549.54881
0.5 -543.05239
0.6 -536.82150
0.7 -540.10592
0.8 -552.75845
0.9 -553.79309
1.0 -552.11783
1.1 -543.41353
1.2 -516.66679
1.3 -506.39464
1.4 -528.64185
1.5 -550.85346
1.6 -511.29851
1.7 -539.27243
1.8 -497.75285
1.9 -493.14183
2.0 -497.76076
&
@target G3.S1
@type xy
-2.0 -498.59869
-1.9 -511.64134
-1.8 -487.99523
-1.7 -491.42200
-1.6 -506.41499
-1.5 -507.49683
-1.4 -520.98192
-1.3 -522.38412
-1.2 -527.01105
-1.1 -533.26026
-1.0 -537.38426
-0.9 -537.72409
-0.8 -544.57720
-0.7 -538.79758
-0.6 -523.15059
-0.5 -520.27746
-0.4 -532.99300
-0.3 -543.11946
-0.2 -544.13435
-0.1 -541.20270
0.0 -542.18432
0.1 -542.87807
0.2 -538.22940
0.3 -530.25304
0.4 -531.80328
0.5 -531.56958
0.6 -529.79633
0.7 -528.04533
0.8 -534.22395
0.9 -538.10568
1.0 -527.29893
1.1 -531.01788
1.2 -513.45382
1.3 -516.43994
1.4 -528.47078
1.5 -528.12644
1.6 -506.13655
1.7 -524.97879
1.8 -492.15288
1.9 -514.82284
2.0 -516.77931
&
@target G4.S1
@type xy
-2.0 -487.41734
-1.9 -508.70164
-1.8 -491.34782
-1.7 -503.10475
-1.6 -514.03293
-1.5 -511.87581
-1.4 -500.62792
-1.3 -516.58775
-1.2 -537.25933
-1.1 -541.81816
-1.0 -525.03391
-0.9 -532.36374
-0.8 -516.01955
-0.7 -526.53420
-0.6 -533.41718
-0.5 -538.72968
-0.4 -536.71552
-0.3 -545.49010
-0.2 -540.44002
-0.1 -539.75548
0.0 -544.16148
0.1 -548.63975
0.2 -538.40399
0.3 -531.53772
0.4 -539.48334
0.5 -533.12685
0.6 -536.32257
0.7 -520.79607
0.8 -497.96271
0.9 -505.38797
1.0 -490.48788
1.1 -495.06783
1.2 -501.78218
1.3 -486.79897
1.4 -474.19194
1.5 -476.24890
1.6 -482.58415
1.7 -480.62450
1.8 -460.27034
1.9 -450.24514
2.0 -457.28602
&
@target G5.S1
@type xy
-2.0 -496.75951
-1.9 -506.93835
-1.8 -524.57780
-1.7 -524.27681
-1.6 -534.46679
-1.5 -534.38840
