@target G0.S0
1.7 0.04568
1.8 0.02083
1.9 0.05181
2.0 0.02792
&
@target G2.S1
@type xy
-2.0 0.08036
-1.9 0.02251
-1.8 0.01819
-1.7 0.09145
-1.6 0.04105
-1.5 0.03099
-1.4 0.02559
-1.3 0.03208
-1.2 0.05676
-1.1 0.04288
-1.0 0.04093
-0.9 0.07038
-0.8 0.05141
-0.7 0.01813
-0.6 0.04715
-0.5 0.02730
-0.4 0.01365
-0.3 0.02371
-0.2 0.01291
-0.1 0.02841
0.0 0.00714
0.1 0.03033
0.2 0.00003
0.3 0.00014
0.4 0.00044
0.5 0.00002
0.6 0.01800
0.7 0.04948
0.8 0.03674
0.9 0.02317
1.0 0.02950
1.1 0.05399
1.2 0.04586
1.3 0.03577
1.4 0.09583
1.5 0.09872
1.6 0.09538
1.7 0.05040
1.8 0.03519
1.9 0.07619
2.0 0.08323
&
@target G3.S1
@type xy
-2.0 0.00769
-1.9 0.03135
-1.8 0.04018
-1.7 0.05406
-1.6 0.00804
-1.5 0.03207
-1.4 0.01020
-1.3 0.07651
-1.2 0.04159
-1.1 0.04806
-1.0 0.02769
-0.9 0.04291
-0.8 0.01355
-0.7 0.02786
-0.6 0.01245
-0.5 0.01140
-0.4 0.00443
-0.3 0.00731
-0.2 0.00804
-0.1 0.00001
0.0 0.00095
0.1 0.00005
0.2 0.00369
0.3 0.00849
0.4 0.02843
0.5 0.02566
0.6 0.01421
0.7 0.00791
0.8 0.04290
0.9 0.05096
1.0 0.05843
1.1 0.06795
1.2 0.03073
1.3 0.01530
1.4 0.00137
1.5 0.01339
1.6 0.00877
1.7 0.00891
1.8 0.02433
1.9 0.02217
2.0 0.06762
&
@target G4.S1
@type xy
-2.0 0.00628
-1.9 0.04359
-1.8 0.00313
-1.7 0.01486
-1.6 0.02447
-1.5 0.04161
-1.4 0.03052
-1.3 0.08462
-1.2 0.13198
-1.1 0.22609
-1.0 0.08541
-0.9 0.19045
-0.8 0.12631
-0.7 0.09153
-0.6 0.08315
-0.5 0.02235
-0.4 0.03143
-0.3 0.02116
-0.2 0.00121
-0.1 0.00998
0.0 0.01233
0.1 0.01677
0.2 0.01121
0.3 0.04578
0.4 0.07128
0.5 0.09970
0.6 0.03329
0.7 0.07149
0.8 0.07207
0.9 0.06246
1.0 0.05912
1.1 0.11417
1.2 0.25588
1.3 0.05512
1.4 0.57588
1.5 0.32153
1.6 0.13745
1.7 0.08931
1.8 0.36101
1.9 0.47271
2.0 0.44763
&
@target G5.S1
@type xy
-2.0 0.06060
-1.9 0.05595
-1.8 0.05048
-1.7 0.06998
-1.6 0.04570
