@target G0.S0
@type xydy
-1.1 0.12063 0.11261
-1.0 0.08563 0.08455
-0.9 0.05318 0.04464
-0.8 0.08368 0.07979
-0.7 0.05217 0.05900
-0.6 0.05326 0.04853
-0.5 0.11687 0.13803
-0.4 0.10669 0.08337
-0.3 0.03531 0.02217
-0.2 0.11013 0.08437
-0.1 0.04360 0.03702
0.0 0.12027 0.07518
0.1 0.07752 0.05735
0.2 0.06628 0.04589
0.3 0.16943 0.14168
0.4 0.10496 0.12018
0.5 0.13354 0.09459
0.6 0.12875 0.12007
0.7 0.07850 0.05392
0.8 0.09956 0.08520
0.9 0.13392 0.12451
1.0 0.11822 0.09588
1.1 0.18410 0.17106
1.2 0.18552 0.18738
1.3 0.15693 0.12148
1.4 0.15265 0.12681
1.5 0.13214 0.13235
1.6 0.12724 0.11403
1.7 0.17413 0.14709
1.8 0.18406 0.09993
1.9 0.12583 0.07918
2.0 0.15486 0.09868
&
@target G0.S1
@type xydy
-2.0 0.12878 0.09869
-1.9 0.04495 0.03591
-1.8 0.14526 0.09323
-1.7 0.11886 0.10622
-1.6 0.16686 0.17563
-1.5 0.15001 0.11985
-1.4 0.25321 0.17164
-1.3 0.15893 0.11251
-1.2 0.09109 0.10231
-1.1 0.21620 0.19215
-1.0 0.14988 0.11592
-0.9 0.13370 0.17582
-0.8 0.10458 0.07773
-0.7 0.04112 0.03944
-0.6 0.09451 0.07809
-0.5 0.03333 0.02432
-0.4 0.03766 0.02392
-0.3 0.05064 0.03009
-0.2 0.06611 0.06863
-0.1 0.11095 0.08113
0.0 0.03467 0.02154
0.1 0.05030 0.03853
0.2 0.07989 0.06236
0.3 0.10626 0.11447
0.4 0.12957 0.17773
0.5 0.13278 0.09202
0.6 0.16915 0.15888
0.7 0.19236 0.14505
0.8 0.33633 0.33824
0.9 0.33035 0.21186
1.0 0.28424 0.23455
1.1 0.11999 0.06982
1.2 0.31907 0.25068
1.3 0.15122 0.11050
1.4 0.34352 0.30305
1.5 0.25044 0.16149
1.6 0.37530 0.22578
1.7 0.31865 0.23569
1.8 0.14891 0.09174
1.9 0.11458 0.06558
2.0 0.18693 0.13406
&
@target G1.S1
@type xydy
-2.0 0.09410 0.07221
-1.9 0.11830 0.09854
-1.8 0.16278 0.12139
-1.7 0.10010 0.04545
-1.6 0.18708 0.14174
-1.5 0.21979 0.19398
-1.4 0.10648 0.07718
-1.3 0.10249 0.07987
-1.2 0.15707 0.15203
-1.1 0.08069 0.05102
-1.0 0.06690 0.04665
-0.9 0.05158 0.04687
-0.8 0.09703 0.10254
-0.7 0.04875 0.03879
-0.6 0.09029 0.09282
-0.5 0.03340 0.02818
-0.4 0.11946 0.08276
-0.3 0.08420 0.06662
-0.2 0.06422 0.06693
-0.1 0.10001 0.07502
0.0 0.02741 0.02055
0.1 0.05725 0.04724
0.2 0.02972 0.01367
0.3 0.31087 0.21349
0.4 0.14956 0.10209
0.5 0.14371 0.10062
0.6 0.07414 0.05799
0.7 0.11234 0.08114
0.8 0.07165 0.06789
0.9 0.05303 0.04142
1.0 0.06822 0.06042
1.1 0.05140 0.03234
1.2 0.15199 0.08660
1.3 0.11818 0.08145
1.4 0.10330 0.05703
1.5 0.10849 0.08412
1.6 0.09427 0.05227
1.7 0.17249 0.13447
1.8 0.14947 0.06141
1.9 0.11626 0.08145
2.0 0.13715 0.09204
&
@target G2.S1
@type xydy
-2.0 0.17000 0.12121
-1.9 0.12318 0.13361
-1.8 0.14858 0.14028
-1.7 0.21883 0.20724
-1.6 0.21590 0.15725
-1.5 0.11917 0.09057
-1.4 0.12047 0.07124
-1.3 0.10401 0.07022
-1.2 0.21398 0.16631
-1.1 0.13453 0.09978
-1.0 0.11416 0.12059
-0.9 0.14300 0.12729
-0.8 0.08005 0.04654
-0.7 0.07543 0.05749
-0.6 0.09784 0.10062
-0.5 0.05619 0.02909
-0.4 0.04864 0.03804
-0.3 0.06295 0.05543
-0.2 0.04964 0.04768
-0.1 0.05080 0.04640
0.0 0.04711 0.04339
0.1 0.05979 0.06680
0.2 0.08068 0.05756
0.3 0.07756 0.05011
0.4 0.04017 0.03165
0.5 0.04553 0.04699
0.6 0.08905 0.06547
0.7 0.15892 0.13497
0.8 0.10004 0.09084
0.9 0.10647 0.10144
1.0 0.06924 0.06409
1.1 0.10411 0.10237
1.2 0.13518 0.13198
1.3 0.10381 0.07159
1.4 0.17163 0.10660
1.5 0.16067 0.12607
1.6 0.18874 0.14826
1.7 0.14115 0.09902
1.8 0.12996 0.09753
1.9 0.18995 0.15705
2.0 0.14290 0.09482
&
@target G3.S1
@type xydy
-2.0 0.09507 0.05672
-1.9 0.17139 0.15627
-1.8 0.10539 0.08983
-1.7 0.12515 0.07080
-1.6 0.23791 0.25205
-1.5 0.18962 0.16383
-1.4 0.14458 0.07709
-1.3 0.14674 0.12130
-1.2 0.10775 0.08741
-1.1 0.14917 0.14760
-1.0 0.06883 0.05142
-0.9 0.07960 0.07950
-0.8 0.12409 0.09758
-0.7 0.08339 0.08547
-0.6 0.08393 0.05843
-0.5 0.04062 0.04013
-0.4 0.05298 0.04095
-0.3 0.11457 0.08290
-0.2 0.03614 0.03717
-0.1 0.10642 0.09141
0.0 0.04783 0.05075
0.1 0.11432 0.10279
0.2 0.09457 0.09066
0.3 0.04440 0.03072
0.4 0.09073 0.07642
0.5 0.09862 0.08065
0.6 0.12122 0.09316
0.7 0.06466 0.06661
0.8 0.08030 0.06800
0.9 0.10850 0.06906
1.0 0.09307 0.07687
1.1 0.15934 0.14113
1.2 0.15924 0.14863
1.3 0.12861 0.14487
1.4 0.08194 0.05602
1.5 0.10200 0.05712
1.6 0.09768 0.05757
1.7 0.15165 0.09040
1.8 0.10575 0.10155
1.9 0.14541 0.07826
2.0 0.18368 0.08144
&
@target G4.S1
@type xydy
-2.0 0.10244 0.06376
-1.9 0.14949 0.07976
-1.8 0.17666 0.09399
-1.7 0.10547 0.05853
-1.6 0.14107 0.10147
-1.5 0.12352 0.08696
-1.4 0.15351 0.13673
-1.3 0.19283 0.13018
-1.2 0.19333 0.11384
-1.1 0.38987 0.36789
-1.0 0.13131 0.11634
-0.9 0.23158 0.12250
-0.8 0.18118 0.17593
-0.7 0.18441 0.18373
-0.6 0.17105 0.15260
-0.5 0.07169 0.04838
-0.4 0.11481 0.10265
-0.3 0.06246 0.06983
-0.2 0.06329 0.07007
-0.1 0.04946 0.03818
0.0 0.05551 0.05019
0.1 0.05692 0.04296
0.2 0.05665 0.06431
0.3 0.06838 0.06098
0.4 0.09804 0.07465
0.5 0.13921 0.12705
0.6 0.07136 0.06019
0.7 0.18939 0.16319
0.8 0.15640 0.16490
0.9 0.17082 0.09031
1.0 0.14702 0.10881
1.1 0.18106 0.16826
1.2 0.30373 0.20190
1.3 0.13003 0.09257
1.4 0.59938 0.36355
1.5 0.45744 0.32751
1.6 0.20446 0.16990
1.7 0.17105 0.17732
1.8 0.48335 0.15441
1.9 0.54141 0.26302
2.0 0.58732 0.30684
&
@target G5.S1
@type xydy
-2.0 0.13838 0.07673
-1.9 0.13370 0.09008
-1.8 0.17549 0.15255
-1.7 0.20309 0.17940
-1.6 0.11629 0.05100
-1.5 0.20297 0.18089
-1.4 0.15804 0.13286
-1.3 0.12374 0.11007
-1.2 0.11567 0.07101
-1.1 0.20147 0.18820
-1.0 0.09471 0.06646
-0.9 0.08394 0.06099
-0.8 0.10456 0.08941
