-2.0 0.04975
-1.9 0.01073
-1.8 0.03467
-1.7 0.04532
-1.6 0.06033
-1.5 0.02349
-1.4 0.06444
-1.3 0.02002
-1.2 0.04263
-1.1 0.09623
-1.0 0.04045
-0.9 0.04517
-0.8 0.02576
-0.7 0.02098
-0.6 0.00366
-0.5 0.00709
-0.4 0.00689
-0.3 0.00058
-0.2 0.00008
-0.1 0.01105
0.0 0.01815
0.1 0.02137
0.2 0.03504
0.3 0.04326
0.4 0.01120
0.5 0.05719
0.6 0.05190
0.7 0.14331
0.8 0.25152
0.9 0.21702
1.0 0.10662
1.1 0.21563
1.2 0.08156
1.3 0.33894
1.4 0.32617
1.5 0.14287
1.6 0.18978
1.7 0.04641
1.8 0.16200
1.9 0.06320
2.0 0.06440
-2.0
-1.9 0.01009
